representation,n_features,n_clusters,elsa_d50,elsa_d100,ARI_vs_anatomy,ARI_vs_published
rung2_union_LR_noconv,912,18,0.0496982406198603,0.0429851202953248,0.446541434015534,0.501319065736411
rung3_product_conv,1477,18,0.0955650716928804,0.0789131452570258,0.437529667150203,0.496841938355911
rung4_commonmin_conv,1477,19,0.0641385658989088,0.052422353956098,0.378949419127833,0.466220709784368
