rep,n_feat,n_clust,elsa_d50,ARI_anatomy,ARI_mostaPLUS,ARI_vs_published
rung2_union_noconv,790,18,0.0310740897560408,0.491992811159623,0.450313993679812,0.525980826755002
rung3_product,1477,19,0.0548315728341185,0.470983596926872,0.441571997779818,0.518930798023577
rung4_commonmin,1477,23,0.0327759897959719,0.350051170384033,0.317766586585542,0.431054021343853
