"arm","draw","depth","domains","elsa_d50","elsa_d100","seconds"
"random",99,10,23,0.266091989323941,0.264910633425537,12.3
"random",99,50,27,0.142438419276678,0.133790314859357,16.2
"random",99,150,23,0.089063470044445,0.0789640950403287,24.9
"random",99,350,20,0.0582634737931834,0.0486224740611913,34.9
"random",99,650,20,0.0613720134295683,0.0510139781466172,53.7
"random",99,1000,19,0.0578048800666095,0.048371595218058,70.8
"random",99,1300,20,0.0744952825409505,0.0616143240469538,87.6
