"arm","draw","depth","domains","elsa_d50","elsa_d100","seconds"
"ordered",0,10,38,0.142843565044894,0.141922821228473,11.2
"ordered",0,50,39,0.163923221007428,0.168753128769103,14.6
"ordered",0,150,45,0.190710508608822,0.194178827732615,23.2
"ordered",0,350,33,0.167202965563716,0.158001574374833,37.3
"ordered",0,650,19,0.123367545718406,0.109078075547792,56.5
"ordered",0,1000,20,0.0912554414197865,0.0771135651943065,75.8
"ordered",0,1300,23,0.0783026370037963,0.0654193344137268,92.3
