"arm","draw","depth","domains","elsa_d50","elsa_d100","seconds"
"reference",0,10,38,0.142843565044894,0.141922821228473,11.2
"reference",0,50,39,0.163923221007428,0.168753128769103,14.5
"reference",0,100,40,0.178074676608324,0.183470241445504,20.5
"reference",0,150,45,0.190710508608822,0.194178827732615,23.3
"reference",0,200,42,0.191530418542163,0.189967746889787,27.9
"reference",0,250,39,0.194754751937954,0.191596860851624,31.1
"reference",0,300,38,0.187752097871694,0.180433665580947,33.4
"reference",0,350,33,0.167202965563716,0.158001574374833,37.4
"reference",0,400,29,0.153648927356288,0.143294694598975,41.7
"reference",0,450,23,0.137936141876294,0.124747205421421,43.5
"reference",0,500,23,0.146185217109342,0.131421455216581,46.4
"reference",0,550,21,0.120894919155526,0.107262743452259,48.7
"reference",0,600,18,0.124212063408595,0.1092973575228,55.2
"reference",0,650,19,0.123367545718406,0.109078075547792,56.3
"reference",0,700,20,0.120999745514197,0.106497604463078,62.4
"reference",0,750,18,0.106490127941522,0.0903196953763704,61.6
"reference",0,800,21,0.108041267996807,0.0915770464922195,63.7
"reference",0,850,21,0.107432074474645,0.0909772620420359,66.4
"reference",0,900,22,0.108411759767615,0.0932678705350225,70.3
"reference",0,950,21,0.0990913252453287,0.084184901136328,74.3
"reference",0,1000,20,0.0912554414197865,0.0771135651943065,75.6
"reference",0,1050,22,0.0872492087125465,0.0745666287790469,77.4
"reference",0,1100,20,0.0851156099231423,0.0717416437291706,79.6
"reference",0,1150,19,0.0843063743156043,0.0703220681692083,83
"reference",0,1200,23,0.0891379100597803,0.0757897173548907,85.9
"reference",0,1250,19,0.080106554440413,0.0663852714210747,88.2
"reference",0,1300,23,0.0783026370037963,0.0654193344137268,91.9
"reference",0,1350,21,0.0789813669285505,0.066232926388553,93.3
"reference",0,1449,19,0.0761065216773952,0.0627566593079947,98.6
