"mechanism","ligand","receptor","frac_from_ligand","dominance","dominant","r_dominant","r_other","max_r_any_input_gene","nearest_gene"
"SEMA7A-ITGA1","Sema7a","Itga1",0.939807692307692,0.939807692307692,"ligand",0.645886160416585,0.208237194658604,0.645886160416584,"Sema7a"
"SEMA7A-ITGB1","Sema7a","Itgb1",0.9985,0.9985,"ligand",0.931361743715155,0.0518487824949701,0.931361743715157,"Sema7a"
"SEMA7A-PLXNC1","Sema7a","Plxnc1",0.940615384615385,0.940615384615385,"ligand",0.694946345041954,0.281617502618971,0.694946345041953,"Sema7a"
"SERPINC1-GPC1","Serpinc1","Gpc1",0.793730769230769,0.793730769230769,"ligand",0.401426778726697,0.145119919855032,0.471459598084297,"Gcgr"
"SERPINC1-LRP1","Serpinc1","Lrp1",0.843038461538462,0.843038461538462,"ligand",0.656612218407386,-0.0150789387431207,0.680491117693173,"Mst1"
"SERPINC1-SDC2","Serpinc1","Sdc2",0.659038461538462,0.659038461538462,"ligand",0.180277405470199,0.256669112033712,0.395313864790197,"Pmch"
"SERPINE1-ITGAV","Serpine1","Itgav",0.999153846153846,0.999153846153846,"ligand",0.796578413064365,0.0780964488044394,0.796578413064366,"Serpine1"
"SERPINE1-ITGB5","Serpine1","Itgb5",0.998846153846154,0.998846153846154,"ligand",0.783675331137484,0.0758604335511392,0.783675331137486,"Serpine1"
"SERPINE1-LRP1","Serpine1","Lrp1",0.999692307692308,0.999692307692308,"ligand",0.921990222953492,0.0679568487332118,0.921990222953492,"Serpine1"
"SERPINE1-LRP2","Serpine1","Lrp2",0.929192307692308,0.929192307692308,"ligand",0.324122179828658,0.0325332831573392,0.43676558139738,"Ntsr1"
"SERPINE1-PLAUR","Serpine1","Plaur",0.909384615384615,0.909384615384615,"ligand",0.343695131299169,0.198383305859475,0.463397930633842,"Calcr"
"SERPINE2-LRP1","Serpine2","Lrp1",0.749384615384615,0.749384615384615,"ligand",0.737571976663144,0.493948954913491,0.73757197666314,"Serpine2"
"SERPING1-LRP1","Serping1","Lrp1",0.9145,0.9145,"ligand",0.858294717901078,0.424976243597186,0.858294717901081,"Serping1"
"SFRP1-FZD2","Sfrp1","Fzd2",0.470692307692308,0.529307692307692,"receptor",0.643693085669965,0.50983072363156,0.643693085669966,"Fzd2"
"SFRP1-FZD6","Sfrp1","Fzd6",0.0449230769230769,0.955076923076923,"receptor",0.72647165139867,0.185928136192811,0.726471651398672,"Fzd6"
"SFTPA1-TLR2","Sftpa1","Tlr2",0.929,0.929,"ligand",0.303817842978872,0.158888336429065,0.39153481422579,"Hmgb1"
"SHANK1-ABCA1","Shank1","Abca1",0.736038461538462,0.736038461538462,"ligand",0.510745540113973,0.520512506364384,0.593410131109201,"Nmbr"
"SHANK1-SSTR2","Shank1","Sstr2",0.00803846153846154,0.991961538461538,"receptor",0.772480275058032,0.269980407707065,0.772480275058036,"Sstr2"
"SHH-BOC","Shh","Boc",0.9835,0.9835,"ligand",0.888297369202651,0.0987798493071034,0.888297369202651,"Shh"
"SHH-CDON","Shh","Cdon",0.981153846153846,0.981153846153846,"ligand",0.866610155575631,-0.0452358127194495,0.86661015557563,"Shh"
"SHH-GPC5","Shh","Gpc5",0.916769230769231,0.916769230769231,"ligand",0.589607246143665,0.0762662575296827,0.589607246143664,"Shh"
"SHH-HHIP","Shh","Hhip",0.976846153846154,0.976846153846154,"ligand",0.86602171964817,0.412027113331434,0.866021719648174,"Shh"
"SHH-LRP2","Shh","Lrp2",0.801038461538462,0.801038461538462,"ligand",0.340900376198927,0.150995094139032,0.345135110172953,"Hmgb1"
"SHH-PTCH1","Shh","Ptch1",0.995769230769231,0.995769230769231,"ligand",0.961769809244765,0.390000176735105,0.961769809244763,"Shh"
"SHH-PTCH2","Shh","Ptch2",0.831692307692308,0.831692307692308,"ligand",0.490318296957455,0.297547834803127,0.490318296957456,"Shh"
"SHH-SMO","Shh","Smo",0.993307692307692,0.993307692307692,"ligand",0.955090954970717,0.199392031908841,0.955090954970718,"Shh"
"SLIT1-GPC1","Slit1","Gpc1",0.950653846153846,0.950653846153846,"ligand",0.707194307393016,0.243498255726147,0.707194307393022,"Slit1"
"SLIT1-ROBO1","Slit1","Robo1",0.975115384615385,0.975115384615385,"ligand",0.80672498050019,0.3087800759687,0.806724980500191,"Slit1"
