"mechanism","rho_true","rho_null","spearman_true","spearman_null"
"A2M-LRP1",0.0285089364517603,-0.0039523286669905,-0.132322814084911,0.0225343463731164
"ACE-AGTR2",-0.000451436175708677,0.0369863476010261,0.211500066570266,0.523810975727986
"ACE-BDKRB2",0.0726035749276624,0.0278370215479351,0.577542586882573,0.467975240918716
"ADAM10-AXL",0.131949654691726,0.233725836483683,0.257350373539549,0.40220415013139
"ADAM10-EPHA3",0.126861194457481,0.11990120064061,0.312319204521637,0.330678462661905
"ADAM12-ITGA9",0.230316150314936,0.109309125690185,0.48960981467671,0.349731870234697
"ADAM12-ITGB1",0.354632095561673,0.114357382172788,0.59370396274831,0.174482975873723
"ADAM12-SDC4",0.109256179045729,0.17598374528336,0.317887614755637,0.44480862325791
"ADAM15-ITGA5",0.0722897894245541,0.0713860649960873,0.439844674108783,0.374896483278295
"ADAM15-ITGA9",0.107882605858571,0.0511567284893655,0.462733726395259,0.423999736357077
"ADAM15-ITGAV",0.113528464851078,0.0343374807453617,0.474493711495951,0.406490088732405
"ADAM15-ITGB1",0.173932456940491,0.0450872870046512,0.499946176872929,0.376939645310675
"ADAM15-ITGB3",0.0241669721911337,-0.0875915139144231,0.363698762292681,-0.0725292901837598
"ADAM17-ERBB4",0.0488485498527724,0.033521413061404,0.326976548045141,0.330891994041147
"ADAM17-ITGA5",0.0912515249819231,0.102386657808421,0.431004764971218,0.473167591227717
"ADAM17-ITGB1",0.223119942259195,0.0740671375968066,0.494271451730033,0.516840776302791
"ADAM17-NOTCH1",0.0930439628459692,0.0632039008218855,0.421599983151661,0.159710900150005
"ADAM2-CD9",0.230709069956929,0.482438340498214,0.492603819105354,0.815715537708956
"ADAM2-ITGA6",0.256705558444032,0.214032939781228,0.55269332967672,0.500181011802498
"ADAM2-ITGA9",0.343035637794235,0.843402565022908,0.556548304321703,0.87591931940771
"ADAM2-ITGB1",0.395804992108171,0.364921176575183,0.491305729670343,0.553407695425159
"ADAM23-ITGA5",0.0444418218677265,0.0958352793362797,0.329125800985962,0.412830378697405
"ADAM23-ITGB3",0.0118558411417574,0.103559190315361,0.281257062383972,0.483317427577734
"ADAM28-ITGA4",-0.0197650091527697,0.0392513045912617,0.124086255576823,0.461749008753384
"ADAM9-ITGA3",0.0849876756595987,0.0665978950356505,0.506513780379003,0.508105340801248
"ADAM9-ITGA6",0.119172507682064,0.108498561862402,0.468767108474052,0.477441192381285
"ADAM9-ITGAV",0.146154853675103,0.0261285952373799,0.459625472711781,0.333820897809476
"ADAM9-ITGB1",0.221454015125209,0.147974418270172,0.491709310733753,0.533289551449336
"ADAM9-ITGB5",0.12722182227347,0.0737363771339921,0.391304700860829,0.456847470597294
"ADCYAP1-ADCYAP1R1",0.41391864572946,-0.0182182150747973,0.598627528715767,0.315360231103287
"ADCYAP1-VIPR1",0.0123342502153666,0.00559627890544098,0.494783716327286,0.379457182641436
"ADCYAP1-VIPR2",-0.0226433416183536,-0.119465032574371,0.37490300340211,-0.210293645120371
"ADM-CALCR",0.0453265207854935,0.0314505151119696,0.618876977685184,0.535013142406369
"ADM-CALCRL",0.00399292580152208,0.00678138945515741,0.41050931369784,0.407612321247037
"ADM-GPR182",-0.000932498071096167,-0.00138180601570203,0.321602402903599,0.400489960443829
"ADM-RAMP2",0.027132462160226,0.0197995724431304,0.431766090898152,0.312878698580499
"AGRN-ATP1A3",0.308908839680067,-0.0379561045633791,0.498055241143914,0.0744824952831443
"AGRN-LRP4",0.119329212681505,-0.0667593787863928,0.474508809034207,-0.0341489364217042
"AGRN-MUSK",0.051284418692741,0.0494289244933284,0.351720864330493,0.420730517131941
"AGRP-MC4R",0.0468635202535611,0.13244022092746,0.640913951205722,0.630323609989555
"AGRP-SDC3",0.133923165080645,0.0402666022539506,0.33006104045867,0.329203144272149
"AGT-AGTR2",-0.198250486179498,-0.179040633320024,-0.185816895582797,-0.16452752568535
"AGT-LRP2",-0.0368207177800469,-0.166062906428372,-0.0623113884305926,-0.160232891978952
"AGT-MAS1",-0.0456954090854269,-0.0850461505299108,-0.156246919284617,-0.171111049376245
"AHSG-INSR",-0.137809534942597,-0.107877954076524,-0.14455034811233,-0.114012976493192
"ALB-LRP2",-0.0370461007565636,-0.0657296352527045,-0.0421527537680912,-0.209307946633478
"ALOX5AP-ALOX5",0.016050428181814,0.0373454357130028,0.368531338636881,0.336447572765114
"ANGPT1-ITGA5",0.0805582557219501,0.122060545116166,0.398029058229447,0.3698280730332
"ANGPT1-ITGB1",0.226252668314625,0.14324848234158,0.457927043551553,0.436194495923137
"ANGPT1-TEK",0.128853567289579,-0.000113998411082964,0.38534817861351,0.293087068701426
"ANGPT1-TIE1",0.161873809145771,0.0793977770440393,0.44015814719459,0.346014218690508
"ANGPT2-TEK",0.0842473114552539,0.0179803765541824,0.373622901963029,0.427757189010565
"ANGPT2-TIE1",0.128858676799497,0.00629098268929869,0.475723526353938,0.223955093722965
"ANGPT4-TEK",0.103487512572976,0.0207112424884351,0.400345795277708,0.39233061961246
"ANGPT4-TIE1",0.156015000636787,-0.0119490979257604,0.450896143677475,0.360448863077132
"ANGPTL1-TEK",0.0638181409628844,-0.0475239815068541,0.293203160649936,0.104258729490597
"ANGPTL2-TIE1",0.0669443412596122,-0.0639181744801582,0.397720645438367,0.226064494939558
"ANGPTL3-ITGA5",-0.123044729239286,-0.0979720968409288,-0.106858573435499,-0.0573847954528906
"ANGPTL3-ITGAV",-0.17004904479479,-0.168144977483831,-0.165198843021801,-0.121175168075248
"ANGPTL3-ITGB3",0.0466829128447943,-0.104378576621751,0.0973623030143047,-0.0526459451709601
"ANGPTL4-TIE1",0.165466130194512,0.0669416468620818,0.441697298080344,0.217264335778156
"ANXA1-DYSF",0.00339309707200395,0.084277718106123,0.314480715030297,0.299424615833468
"ANXA1-EGFR",0.0411665613104486,-0.0309566809607544,0.363218835963341,0.120443450319272
"APLN-APLNR",0.181118887148378,0.00310450314370461,0.502307641564406,0.311023620529734
"APOB-CALCR",-0.310409484477873,0.00344750507495585,-0.0707900699319835,0.209131336217422
"APOB-ITGAM",0.00682851543985903,-0.0492521088763598,0.0193317884391572,-0.10509439297135
"APOB-ITGB2",0.0745703505457041,-0.0635140960163057,0.21671695149173,-0.0964321151367339
"APOB-LDLR",-0.0664310219130539,-0.123427968606735,-0.0684763326843642,-0.100200849947043
"APOB-LRP2",-0.033765643013739,-0.0892193377969823,0.0113046376232317,-0.118726808659473
"APOB-LRP6",-0.20999348849783,-0.118347557119608,-0.285399169367113,-0.0971973407468782
"APOB-LRP8",-0.159578797919722,-0.0964074288933931,-0.268288595839753,-0.12864744613637
"APOB-LSR",-0.0490660314953194,-0.0927605132997422,-0.00912039845909936,-0.0895821812820401
"APOD-LEPR",0.351890064226677,0.119226587456287,0.38206736891908,0.3625564339503
"APOE-CHRNA4",-0.00784368879083478,0.0943968649765746,0.0871084804251718,0.153070207594665
"APOE-LDLR",-0.00696255653926017,0.114798000098156,0.0326099735172883,0.178888889764856
"APOE-LRP1",0.150647220040293,0.0651123384773431,0.150277234240283,0.122765496731902
"APOE-LRP2",0.0400339083287942,0.0365941281673197,0.159201051380247,0.244266524991291
"APOE-LRP5",0.0290055246477805,0.018086841210037,0.0917091397719867,0.140704895844921
"APOE-LRP8",-0.0165535989947043,-0.00134581802278868,0.00401850706147481,0.0565285085055611
"APOE-SCARB1",0.0115271622035975,0.0307638750792736,0.120839820936609,0.0957154297731339
"APOE-SORL1",-0.00127173217315765,0.0594061271676898,0.0850753168800613,0.1235920235085
"APOE-VLDLR",0.00374851719705383,-0.00683147465676383,0.0891867745167761,0.047601369258855
"APP-CAV1",0.119747547249373,0.23734884984662,0.334461544806327,0.445776045470311
"APP-CD74",-0.0798756272672344,0.169312551743044,0.149066366960385,0.342424372760072
"APP-GPC1",0.261541816913655,0.375461287096121,0.478304854922845,0.503224066864806
"APP-LRP1",0.474917212034468,0.131520961326512,0.62953681545744,0.356613243623802
"APP-NCSTN",0.220889061705294,0.127518843515464,0.463208994720041,0.360943813377136
"APP-NGFR",0.164030963127648,0.240631930059322,0.433621863347188,0.124120621970365
"APP-TNFRSF21",0.289102861701875,0.373565015915932,0.445982999826101,0.491570259923807
"ARTN-GFRA1",0.217084272691951,0.330168770416885,0.573103573195306,0.520259456826055
"ARTN-RET",0.17917913089356,0.269630226656662,0.505360202589632,0.591766400836933
"B2M-CD247",0.448798844429927,0.305537405306337,0.527311057191744,0.45491275556917
"B2M-CD3D",0.249286526709367,-0.0308342484747599,0.28510180901574,0.145683441451057
"B2M-HFE",0.106317816386024,0.0877980103239043,0.309195355043188,0.322303053416698
"B2M-TFRC",-0.0828177806299487,0.153881327795781,0.00908419132181321,0.289208317789225
"BCAN-EGFR",-0.0679916574681741,-0.0499444713717966,0.0999908927919756,0.146741001931228
"BCAN-NRCAM",0.437114606933437,0.0367155878907395,0.462473796525052,0.219052402533191
"BGN-LY96",0.0253986768883052,-0.00876669756899378,0.222334924824119,0.106661642606805
"BGN-TLR1",0.0405945221457335,0.0370810187890589,0.172396180137819,0.168066169422264
"BGN-TLR2",0.0718994469790054,0.0336907851087651,0.261020523387491,0.157229049152023
"BGN-TLR4",0.0639489749463364,0.00421023162250221,0.251247075332068,0.265316491888384
"BMP2-ACVR1",0.0730315341220513,0.0131115121112055,0.439101495571042,0.375106650944059
"BMP2-ACVR2A",0.0175773243174703,0.0555710948952332,0.399791882191089,0.349749529768177
"BMP2-ACVR2B",0.00774368559037952,0.0179861902082029,0.423517758715263,0.367237917527548
"BMP2-BMPR1A",0.0889005345638998,0.0478726127322596,0.446559579024952,0.399835978942634
"BMP2-BMPR1B",0.0337432979506249,0.021487374982797,0.317394561384858,0.394957174408334
"BMP2-BMPR2",0.0583991106348238,0.0627081417387334,0.426317151971339,0.390301675145417
"BMP2-ENG",0.0378591077154464,0.00167855602154089,0.379118355073343,0.304555889742516
"BMP2-HFE2",0.023668966540378,0.0568872411186943,0.252229774673758,0.404433993637192
"BMP3-ACVR1",0.0968964288824124,0.0720355168679152,0.417305466152364,0.382678401782524
"BMP3-ACVR2A",0.0454521135383649,0.0639546610386232,0.345920338716086,0.402202283050595
"BMP3-ACVR2B",0.011486121692572,-0.0139944646624059,0.373080938824084,0.333355880570736
"BMP3-BMPR1A",0.151180240545758,0.0516195634282988,0.459020346331505,0.328332988974776
"BMP3-BMPR1B",0.0799557489787617,0.123350203210425,0.374811374911305,0.387422339208977
"BMP3-BMPR2",0.132399336117714,0.0705914400577157,0.416557089971921,0.414145313484739
"BMP4-ACVR1",0.124028453281757,0.138358023180032,0.391097712138174,0.334290206394603
"BMP4-ACVR2A",0.0458461703148561,0.222288915488651,0.326224109057,0.469230898321575
"BMP4-ACVR2B",0.0478542350731227,-0.106567548088552,0.355472422834677,0.0107136821294126
"BMP4-BMPR1A",0.199223669618531,0.0239469350596544,0.488884365243912,0.4105376333845
"BMP4-BMPR1B",0.0641161106853516,0.0435497241126842,0.339130086237448,0.348487840669361
"BMP4-BMPR2",0.157862338037851,0.107700193024782,0.406037738454994,0.312032078492765
"BMP4-HFE2",0.0227229013917779,-0.0196800688792448,0.191261430432453,0.255189649099848
"BMP5-ACVR1",0.111656395337641,0.0126354958605041,0.338126862102828,0.262512218381959
"BMP5-ACVR2A",0.037987782383668,0.0424925269905765,0.256414343138073,0.287008989786427
"BMP5-ACVR2B",0.0174580436278643,0.0978423813914932,0.273405244764482,0.306418500941447
"BMP5-BMPR1A",0.167276264437598,0.0418100094181231,0.42054856847737,0.370590177169285
"BMP5-BMPR1B",0.115967125682208,-0.037202713158846,0.330026252958391,0.133217466067345
"BMP5-BMPR2",0.154918649261831,0.108450844854743,0.339884713050353,0.281993291130168
"BMP5-HFE2",-0.00143900775268429,-0.140948668321829,0.161496031123742,-0.172824664153473
"BMP6-ACVR1",0.0482721627393892,0.0742558474419705,0.393524408028882,0.290468233243524
